model,quant,mode,problem_id,run_id,duration_s,tokens,success,tool_calls,context_len,inter_token_avg_ms,inter_token_p95_ms,ttft_ms,energy_joules,energy_per_token_j,tps
gemma-3n-e2b-it,F16,base,39,4,6.782333,162,False,0,422,35.77235413760674,49.81136322021484,0.010013580322265625,44.88481539344788,0.27368789874053584,23.885586272452265
gemma-3n-e2b-it,F16,base,36,2,6.844197,161,False,0,337,36.150031619601776,97.77745008468625,0.014066696166992188,90.1033840651512,0.5561937287972296,23.52357771116173
gemma-3n-e2b-it,F16,base,35,1,4.760623,83,False,0,288,45.85656097957066,94.57010030746429,0.010013580322265625,45.72341175317764,0.5443263303949719,17.434692896286894
gemma-3n-e2b-it,F16,base,37,0,6.785769,141,True,0,615,40.67872443669279,87.7255558967586,0.008106231689453125,91.09568942236899,0.6415189395941479,20.778779825838456
gemma-3n-e2b-it,F16,base,39,3,12.859561,365,False,0,422,32.47848625391559,93.80239248275757,0.009059906005859375,200.54609861660003,0.5479401601546449,28.383550573771533
gemma-3n-e2b-it,F16,base,39,2,6.772486,149,False,0,422,38.7695688285575,89.07532691955566,0.013113021850585938,82.12653530359269,0.5438843397588919,22.000783759464397
gemma-3n-e2b-it,F16,base,36,4,6.810317,165,False,0,337,35.21812536630286,95.72350978851318,0.009059906005859375,86.49022577857971,0.5210254564974681,24.22794709849776
gemma-3n-e2b-it,Q4_K_M,base,61,1,341.48891,166,False,0,366,2025.824952268315,4484.959053993222,0.011205673217773438,3531.905645513282,21.14913560187594,0.48610656199640573
gemma-3n-e2b-it,Q4_K_M,base,60,4,368.457077,206,False,0,424,1760.8356809846446,3483.1560373306274,0.010013580322265625,7155.915692880109,34.56964102840632,0.5590881892601021
gemma-3n-e2b-it,Q4_K_M,base,64,0,408.520143,260,True,0,609,1550.9094552518764,2815.75608253479,0.010967254638671875,11234.866265387282,43.04546461834207,0.636443525380828
gemma-3n-e2b-it,Q4_K_M,base,61,0,317.832986,166,False,0,366,1873.9605392524581,3591.499495506285,0.010013580322265625,4659.081692734683,27.898692770866365,0.5222868843449748
gemma-3n-e2b-it,Q4_K_M,base,60,2,328.992709,198,False,0,424,1632.5899847787828,3417.7538633346558,0.009059906005859375,6677.149876650997,33.55351696809546,0.601837045574162
gemma-3n-e2b-it,Q4_K_M,base,63,1,275.101799,175,False,0,439,1539.5775803110816,3043.887674808502,0.010967254638671875,5341.656582929304,30.3503214939165,0.6361281555995931
gemma-3n-e2b-it,Q4_K_M,base,63,0,315.000386,175,False,0,439,1769.3094719539988,3524.182617664337,0.011920928955078125,4242.783060399817,24.106721934089872,0.5555548747803757
gemma-3n-e2b-it,Q4_K_M,base,60,3,334.265477,198,False,0,424,1657.9375878051299,3239.6029472351074,0.010013580322265625,6749.23140066016,33.91573568170935,0.5923435521281787
gemma-3n-e2b-it,Q4_K_M,base,60,0,608.984382,218,False,0,424,2756.0470822739276,5436.245107650757,0.019073486328125,6786.102673564209,30.986770198923328,0.35797305553888575
gemma-3n-e2b-it,Q4_K_M,base,63,3,316.881837,187,False,0,439,1669.2948087732843,3283.6023449897766,0.010967254638671875,6232.307073968883,33.15056954238767,0.5901253343213861
gemma-3n-e2b-it,Q4_K_M,base,63,2,315.82865,172,False,0,439,1800.3580749379416,3557.854986190796,0.010013580322265625,7446.714214291656,43.04459083405582,0.5445991046094141
gemma-3n-e2b-it,Q4_K_M,base,60,1,372.857677,198,False,0,424,1838.6486738770452,3764.466857910156,0.015020370483398438,6973.255552567549,35.04148518878165,0.5310337220172081
gemma-3n-e2b-it,Q4_K_M,base,62,0,196.508999,108,True,0,329,1766.7644308247698,3888.855695724486,0.033855438232421875,2812.5237141999964,25.802969855045838,0.5495931512022002
