model,quantization,mode,attempts,successes,problems,avg_samples_per_problem,median_samples_per_problem,per_attempt_pass_rate,per_attempt_pass_rate_low,per_attempt_pass_rate_high,pass@1,pass@1_low,pass@1_high,pass@3,pass@3_low,pass@3_high,pass@5,pass@5_low,pass@5_high,pass@10,pass@10_low,pass@10_high,duration_mean_s,duration_median_s,duration_p95_s,ttft_mean_ms,ttft_median_ms,ttft_p95_ms,tokens_mean,tps_mean,overall_tps_mean,tool_calls_mean,tool_calls_median,tool_latency_mean_ms,tool_latency_total_ms,energy_mean_j,energy_median_j,energy_total_j,thinking_ratio_mean,thinking_tokens_mean
gemma-3n-e2b-it,F16,full_tool,2451,262,470,5.214893617021277,2.0,0.10689514483884129,0.09527193851297729,0.1197486966269845,0.5053833164471463,0.46040189125295505,0.5479483282674773,0.5427456940222898,0.4972137791286727,0.5853191489361702,0.5517392772711921,0.5064336372847011,0.5939209726443768,0.5574468085106383,0.5127659574468085,0.6,4.778559908200735,4.12083,8.124022,14.423108110618513,14.066696166992188,18.596649169921875,195.9808241534068,61.301499447608144,44.00956147544585,2.9914320685434515,3.0,1293.9556051268537,1293.9556051268537,25.153904337622304,23.49228615760803,61652.219531512266,0.0,0.0
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,2850,289,500,5.7,5.0,0.10140350877192983,0.0908519164872768,0.11302821477158499,0.38514126984126984,0.35109365079365074,0.42421825396825386,0.5154238095238095,0.47526904761904765,0.5569476190476191,0.5523730158730159,0.5099365079365079,0.5956468253968255,0.578,0.536,0.62,17.097401497894737,18.062414,18.0650933,13.177081241942288,12.874603271484377,15.2587890625,1941.2508771929824,115.00929986444304,113.37963323567853,0.9715789473684211,1.0,1395.8394467163362,1395.8394467163362,163.74049950431106,173.58111509680748,466660.4235872865,0.0,0.0
deepseek-r1-distill-qwen-1.5b,Q4_K_M,full_tool,2390,291,440,5.431818181818182,4.0,0.12175732217573222,0.10925050942953378,0.13547813092829106,0.36208243145743146,0.32623827561327556,0.39802759740259736,0.5635200216450217,0.5216423160173158,0.6065800865800867,0.6204500360750361,0.5755501443001445,0.664046717171717,0.6613636363636364,0.615909090909091,0.7068181818181818,41.95680399037658,34.07596,92.07981515,13.46499680475211,13.113021850585938,15.020370483398438,1737.4355648535566,115.1482305212071,57.468468605544636,0.895397489539749,1.0,1348.980135715471,1348.980135715471,84.27241575626648,66.09792172908783,201411.0736574769,0.0,0.0
deepseek-r1-distill-qwen-1.5b,F16,base,2776,291,500,5.552,5.0,0.10482708933717579,0.0939724043915284,0.1167739920937965,0.4074698412698413,0.3706015873015874,0.4468833333333333,0.5284095238095238,0.4880761904761904,0.5721119047619049,0.562515873015873,0.5209325396825397,0.6057103174603174,0.582,0.54,0.626,19.580616305115274,20.062859500000002,22.064065499999998,13.155963304063429,12.636184692382812,15.31839370727539,1953.6408501440922,96.8432987145696,99.82886651950243,0.3360951008645533,0.0,1533.192562009233,1533.192562009233,190.7813553281408,197.2478313803673,529609.0423909188,0.0,0.0
deepseek-r1-distill-qwen-1.5b,F16,full_tool,1741,248,350,4.974285714285714,3.0,0.1424468696151637,0.12681553995252087,0.1596526414571842,0.42208616780045355,0.3814115646258505,0.46710657596371896,0.6134013605442177,0.5656768707482992,0.6631530612244896,0.6723356009070295,0.6227154195011338,0.7212868480725623,0.7085714285714285,0.6571428571428571,0.7571428571428571,50.36625739632395,42.069245,108.080876,13.539174450737933,13.113021850585938,15.735626220703123,1841.6645605973579,96.99246398257664,53.85186238131488,1.0028719126938541,1.0,1580.334092611852,1580.334092611852,110.28640252515407,110.045188498497,192008.62679629325,0.0,0.0
qwen-3-4b,Q4_K_M,base,500,153,500,1.0,1.0,0.306,0.26721278242267577,0.3477455695673147,0.306,0.268,0.348,0.306,0.268,0.348,0.306,0.268,0.348,0.306,0.268,0.348,18.940113244,22.061597,22.0653062,13.367176055908203,12.874603271484377,17.404556274414062,1753.338,91.60432624591783,92.54886258392486,0.416,0.0,1072.7397329532182,1072.7397329532182,183.82091048419477,214.6066294193268,91910.45524209738,0.8691588577057637,1580.934
qwen-3-4b,Q4_K_M,tool_submission,500,251,500,1.0,1.0,0.502,0.45832556654253676,0.5456439349833396,0.502,0.458,0.546,0.502,0.458,0.546,0.502,0.458,0.546,0.502,0.458,0.546,15.982705731999998,18.0619595,22.06565145,13.746492385864258,13.113021850585938,17.881393432617188,1476.468,94.70069625327683,92.07885409358377,0.626,1.0,1175.777688141792,1175.777688141792,152.22078155081272,175.48667495846746,76110.39077540635,0.9652168386612489,1444.026
qwen-3-4b,Q4_K_M,full_tool,500,305,500,1.0,1.0,0.61,0.5665631678283058,0.6517594160948953,0.61,0.566,0.654,0.61,0.566,0.654,0.61,0.566,0.654,0.61,0.566,0.654,37.052952831999995,14.064339499999999,110.08113665,13.849258422851562,12.874603271484377,18.37015151977538,1381.734,95.53622384083073,69.36685874623761,0.812,1.0,1175.2026406601346,1175.2026406601346,129.86493470177652,120.27473977208138,64932.467350888255,0.9452328411385463,1223.994
qwen-3-4b,F16,base,2659,293,500,5.318,3.0,0.11019180142910869,0.09884747177039621,0.12266085978038022,0.44761190476190477,0.4056063492063493,0.4890452380952382,0.5498357142857144,0.5065738095238095,0.5949619047619048,0.5722261904761905,0.5291825396825398,0.61675,0.586,0.544,0.632,26.86372882512223,28.063405,30.063836,12.710696102399133,12.159347534179688,16.927719116210938,1946.3444904099285,71.246811177405,72.45629862601943,0.2327942835652501,0.0,1306.2736144551168,1306.2736144551168,270.0817399570842,283.2593896865844,718147.346545887,0.9472570388342647,1870.9281684843927
qwen-3-4b,F16,tool_submission,2103,346,500,4.206,1.0,0.16452686638135997,0.149295153543773,0.1809819778741751,0.5852031746031746,0.5449301587301586,0.6247531746031747,0.6646095238095238,0.621942857142857,0.7039071428571431,0.684515873015873,0.642968253968254,0.7246746031746031,0.692,0.65,0.732,25.209258717546362,28.063227,30.062357499999997,12.834129932093383,12.39776611328125,16.90387725830075,1826.7256300523063,72.10463793858717,72.35779492234222,0.33808844507845937,0.0,1304.8499261153029,1304.8499261153029,252.55859503946698,283.1510469198227,531130.725367999,0.9843983074359336,1810.1516880646695
qwen-3-4b,F16,full_tool,891,313,360,2.475,1.0,0.35129068462401797,0.3206444138913893,0.38321378849884385,0.7960945767195767,0.7567195767195768,0.8344014550264547,0.8493948412698412,0.8145238095238094,0.8863293650793651,0.8633432539682541,0.8298115079365078,0.8988921957671958,0.8694444444444445,0.8361111111111111,0.9055555555555556,73.37159237037037,52.085284,146.0814605,13.23129459128503,12.636184692382812,17.1661376953125,1619.3389450056118,73.01319099910745,42.50676733870373,0.6374859708193041,1.0,1344.448150764585,1344.448150764585,204.70512760389266,229.44952882528307,182392.26869506837,0.9557691671841265,1437.0056116722783
qwen-3-0.6b,Q4_K_M,base,3007,263,500,6.014,8.0,0.08746258729630861,0.07788389980497447,0.09809400617320783,0.363784126984127,0.32794682539682535,0.4002039682539683,0.4753523809523809,0.43543571428571426,0.5165214285714285,0.5047539682539683,0.4631706349206349,0.5482222222222222,0.526,0.482,0.57,13.89102954539408,16.06232,16.065133,12.494031162725005,12.159347534179688,15.2587890625,1772.849351513136,128.22855531249306,127.67654690263574,0.7668772863318922,1.0,931.7881158405248,931.7881158405248,129.39904421923126,150.6019749045372,389102.9259672284,0.9646084328622299,1730.6291985367475
qwen-3-0.6b,Q4_K_M,tool_submission,3205,242,500,6.41,10.0,0.07550702028081123,0.06685939580612847,0.08517104408844281,0.3248849206349206,0.287815873015873,0.36257619047619044,0.43065476190476193,0.3877595238095238,0.4713547619047618,0.4637579365079365,0.420031746031746,0.506,0.484,0.44,0.528,13.399235815600624,16.061516,16.0654064,12.019976885196014,12.159347534179688,14.337253570556639,1697.377535101404,129.53677161070553,126.31021287847545,0.8446177847113885,1.0,949.7560570158485,950.015468758519,123.04831835066844,150.3988434791565,394369.86031389236,0.9603689182566069,1673.4783151326053
qwen-3-0.6b,Q4_K_M,full_tool,2657,278,480,5.535416666666666,5.0,0.10462928114414753,0.09355623535174527,0.11684396284118737,0.4071403769841269,0.37130704365079353,0.4459424603174604,0.5287127976190475,0.48810267857142836,0.5730877976190475,0.5605282738095239,0.5198660714285716,0.6058779761904762,0.5791666666666667,0.5354166666666667,0.625,38.5580188818216,28.06945,80.0784634,13.064862553858873,12.636184692382812,15.0348663330078,1673.5939028980054,129.25716371220494,75.48658585554745,0.7809559653744825,1.0,960.8095748872609,960.8095748872609,92.58506287460179,87.24919370412827,245998.51205781696,0.9454431593307046,1281.2190440346255
qwen-3-0.6b,F16,base,2837,272,500,5.674,5.0,0.09587592527317589,0.0855817979008836,0.10726302667504486,0.4122484126984127,0.3718031746031746,0.45094603174603176,0.5077452380952381,0.46534523809523815,0.5481380952380953,0.5290753968253968,0.4881626984126984,0.5712023809523807,0.544,0.502,0.588,14.98295626542122,18.060785,18.0643302,12.47098557664174,12.159347534179688,15.13242721557615,1726.6732463870285,121.57031389755346,116.38431997770473,0.8579485371871696,1.0,1488.1799057456637,1488.1799057456637,145.59203627378454,172.00452674627306,413044.60690872674,0.9609297690841784,1681.1681353542474
qwen-3-0.6b,F16,tool_submission,2967,269,500,5.934,7.0,0.0906639703404112,0.08085458624642415,0.10153198057692989,0.37026190476190474,0.33011587301587303,0.408304761904762,0.4867857142857143,0.4442833333333333,0.5297952380952383,0.5178095238095238,0.47459920634920644,0.5599404761904762,0.538,0.494,0.58,14.69667765487024,18.060693,18.0638446,12.595186821732169,12.159347534179688,15.143752098083494,1692.5591506572296,122.31174286061996,116.00270354500346,0.9602291877317155,1.0,1480.8438547541587,1480.8438547541587,142.7998869119769,171.89029177427292,423687.2644678354,0.9751923165636635,1668.1102123356927
qwen-3-0.6b,F16,full_tool,2437,288,470,5.185106382978724,3.0,0.11817808781288469,0.10595800490426273,0.13160005703634006,0.44315940560621414,0.4028824721377913,0.48307244174265446,0.5688399189463019,0.527839412360689,0.6097188449848022,0.5982438365417088,0.5561761229314421,0.6385764944275583,0.6127659574468085,0.5702127659574469,0.6553191489361702,37.756697960196966,24.067628,90.0781522,12.819315010668754,12.39776611328125,16.21246337890625,1536.4013130898645,124.14714974997598,76.9295249843791,0.7775954041854739,1.0,1428.0565956223336,1429.0785513499368,99.64199187681723,88.3374997496605,242827.53420380357,0.943135395625401,1212.8563807960606
